"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2821","335",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3101","348",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1261","129",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3269","385",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2374","495",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2579","237",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1701","130",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1308","158",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3099","313",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1700","205",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2052","164",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1636","169",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2173","282",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2228","235",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1786","175",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1827","175",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2402","324",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2192","334",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1719","332",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","806","150",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2468","256",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2361","314",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","2372","209",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2377","329",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1707","170",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2348","201",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2072","175",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1152","111",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1095","110",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","2567","279",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1535","191",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1320","111",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","3190","252",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","2097","239",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1580","129",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","2397","158",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","918","66",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1633","202",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","2017","210",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2092","208",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2265","232",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1652","149",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","2102","254",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","2590","351",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","3400","448",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","4782","475",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","3592","325",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","1983","163",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","2484","224",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","3721","292",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1036","108",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1362","219",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","4454","444",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1877","183",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","3147","345",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","3000","188",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1096","108",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1497","186",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","2647","209",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1295","164",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1675","145",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","866","118",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1179","151",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1192","103",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","2274","230",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1129","112",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","2430","258",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1125","172",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","762","164",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","603","61",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","705","103",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","791","68",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","783","141",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","651","102",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","1110","104",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1221","96",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1350","155",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1133","129",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1225","133",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1687","167",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","747","72",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","3737","410",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","5040","571",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1149","108",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","769","108",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","928","83",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","974","94",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","785","128",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","2556","316",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","3023","329",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1654","159",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1953","172",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1371","155",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","716","71",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","768","75",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","773","78",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","951","110",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1344","187",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1643","173",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1919","163",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1852","219",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1346","139",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","4606","468",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","2058","253",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","3015","256",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1028","80",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1357","153",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","2556","203",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","2284","264",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1151","71",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","2211","243",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","1696","153",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1601","131",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1367","109",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1403","171",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","2198","246",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","1042","113",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1230","197",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","965","115",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","2223","406",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","3103","362",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","4137","316",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","777","75",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","710","77",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","1092","178",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","4829","400",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","2617","438",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","2709","243",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","3107","236",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","2064","373",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","5988","781",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","3175","320",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","3770","310",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","2403","348",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","4130","503",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1665","166",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","3947","248",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","7281","907",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","4346","651",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","2975","216",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","3334","377",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","7226","668",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","1044","152",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","1449","152",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","2801","264",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","536","64",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","2264","187",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","2802","230",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","2863","216",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","1256","155",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","2366","375",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","1901","164",
