"GEO_ID","NAME","B25058_001E","B25058_001M",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","872","196",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1041","108",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","989","87",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","1008","125",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","934","77",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","976","41",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","964","57",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","780","182",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","986","68",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","977","84",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1041","120",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1080","102",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1002","167",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","975","250",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1076","92",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1105","40",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1064","84",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1142","105",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1144","104",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1305","136",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","1050","75",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","1084","192",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","1096","82",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","996","112",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","976","97",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","976","79",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1021","87",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1141","104",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1011","89",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1232","128",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","990","92",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","917","80",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1359","156",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","957","52",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","886","44",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1083","69",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","878","70",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1298","105",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","923","142",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1190","82",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1346","123",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1457","222",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1213","92",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","1217","150",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","776","165",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","995","74",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","1291","85",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","798","155",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","834","50",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","992","122",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1143","38",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1193","70",
