"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","3887","601","2765","546","2765","546","2624","526","141","104","0","12","1122","233",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","5600","846","3449","661","3449","661","3313","660","136","119","0","17","2151","426",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","2584","404","1655","304","1655","304","1540","261","115","106","0","12","929","214",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","5592","996","3509","736","3509","736","3389","723","120","107","0","17","2083","458",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","4847","677","2649","430","2649","430","2513","413","136","77","0","17","2198","572",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","3508","478","2812","490","2812","490","2645","503","167","122","0","12","696","172",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","2583","312","1923","293","1923","293","1865","291","58","45","0","12","660","141",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1846","387","892","229","881","227","843","216","38","44","11","18","954","206",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","5560","1010","4061","625","4061","625","3983","625","78","58","0","17","1499","516",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","2987","521","2472","431","2472","431","2377","428","95","71","0","12","515","155",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","3739","556","2648","387","2642","386","2479","320","163","163","6","10","1091","421",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","3267","603","2205","438","2205","438","2041","430","164","88","0","12","1062","269",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","5024","663","3210","577","3210","577","3105","581","105","72","0","17","1814","401",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","3937","574","2412","534","2412","534","2212","442","200","176","0","17","1525","208",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","3739","630","2468","413","2468","413","2316","409","152","87","0","17","1271","303",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","3318","529","2446","470","2446","470","2349","469","97","58","0","12","872","185",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","5139","1028","3081","731","3081","731","2727","689","354","155","0","17","2058","448",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","4383","774","2460","668","2460","668","2269","640","191","149","0","17","1923","484",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","3986","1135","2949","1113","2949","1113","2893","1122","56","53","0","17","1037","278",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1458","185","924","92","924","92","863","88","61","41","0","12","534","173",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","5845","1177","3752","923","3752","923","3384","801","368","204","0","17","2093","500",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","5067","1045","3963","1036","3963","1036","3815","1024","148","80","0","17","1104","285",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","6368","1232","3863","670","3863","670","3523","594","340","234","0","17","2505","762",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","4819","634","3410","574","3410","574","3281","566","129","75","0","17","1409","308",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","3634","485","1806","362","1806","362","1714","362","92","70","0","12","1828","314",
