"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2821","335","2453","312","368","188",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3101","348","2895","357","206","130",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1261","129","1183","134","78","46",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3269","385","3035","361","234","154",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2374","495","2214","504","160","115",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2579","237","2306","280","273","132",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1701","130","1509","141","192","102",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1308","158","1058","168","250","102",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3099","313","2855","352","244","134",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1700","205","1501","211","199","93",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2052","164","1835","174","217","120",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1636","169","1476","202","160","100",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2173","282","2023","295","150","110",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2228","235","2133","252","95","72",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1786","175","1603","193","183","110",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1827","175","1650","190","177","94",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2402","324","2103","342","299","142",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2192","334","1998","358","194","144",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1719","332","1632","334","87","65",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","806","150","730","149","76","52",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2468","256","2382","271","86","96",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2361","314","2195","330","166","104",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","2372","209","2166","237","206","146",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2377","329","2187","334","190","90",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1707","170","1591","176","116","76",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2348","201","1956","258","392","185",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2072","175","1822","194","250","107",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1152","111","960","124","192","97",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1095","110","1008","110","87","67",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","2567","279","2497","287","70","72",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1535","191","1497","185","38","43",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1320","111","1219","130","101","63",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","3190","252","2933","291","257","145",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","2097","239","1846","262","251","139",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1580","129","1443","118","137","95",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","2397","158","2058","197","339","153",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","918","66","835","85","83","52",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1633","202","1478","220","155","87",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","2017","210","1891","215","126","71",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2092","208","1882","238","210","145",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2265","232","2097","223","168","144",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1652","149","1468","135","184","99",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","2102","254","2056","255","46","75",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","2590","351","2424","357","166","117",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","3400","448","3159","470","241","135",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","4782","475","4434","432","348","206",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","3592","325","3042","303","550","229",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","1983","163","1859","160","124","74",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","2484","224","2359","234","125","90",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","3721","292","3433","327","288","181",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1036","108","972","108","64","39",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1362","219","1315","224","47","51",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","4454","444","3995","513","459","316",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1877","183","1747","200","130","73",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","3147","345","3053","359","94","91",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","3000","188","2759","206","241","133",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1096","108","1070","109","26","33",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1497","186","1380","205","117","87",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","2647","209","2401","172","246","172",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1295","164","1189","157","106","76",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1675","145","1573","157","102","71",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","866","118","793","121","73","49",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1179","151","1053","165","126","70",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1192","103","1127","123","65","68",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","2274","230","2026","217","248","183",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1129","112","1046","121","83","62",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","2430","258","2119","273","311","161",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1125","172","1093","174","32","39",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","762","164","694","163","68","49",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","603","61","531","61","72","51",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","705","103","605","109","100","55",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","791","68","715","72","76","40",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","783","141","714","147","69","56",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","651","102","635","104","16","23",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","1110","104","1054","111","56","47",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1221","96","889","106","332","74",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1350","155","1288","150","62","65",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1133","129","1091","131","42","41",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1225","133","1185","138","40","51",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1687","167","1642","175","45","51",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","747","72","676","77","71","53",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","3737","410","3461","393","276","161",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","5040","571","4641","620","399","224",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1149","108","1087","113","62","50",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","769","108","684","114","85","56",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","928","83","801","86","127","64",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","974","94","866","84","108","61",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","785","128","756","121","29","30",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","2556","316","2322","328","234","136",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","3023","329","2754","335","269","183",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1654","159","1577","153","77","72",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1953","172","1865","172","88","75",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1371","155","1271","157","100","64",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","716","71","649","62","67","55",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","768","75","700","73","68","52",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","773","78","699","88","74","52",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","951","110","911","105","40","39",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1344","187","1216","192","128","75",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1643","173","1384","170","259","98",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1919","163","1788","176","131","79",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1852","219","1796","220","56","52",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1346","139","1346","139","0","12",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","4606","468","4182","444","424","265",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","2058","253","1967","260","91","84",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","3015","256","2649","255","366","186",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1028","80","834","84","194","80",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1357","153","1226","139","131","87",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","2556","203","2267","199","289","137",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","2284","264","2114","271","170","92",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1151","71","1135","76","16","18",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","2211","243","2083","256","128","88",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","1696","153","1596","167","100","67",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1601","131","1543","142","58","48",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1367","109","1262","128","105","73",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1403","171","1186","174","217","103",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","2198","246","1677","240","521","148",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","1042","113","983","131","59","57",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1230","197","1063","148","167","136",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","965","115","887","127","78","71",
