"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2821","335","0","12","0","12","0","12","39","61","110","91","169","107","95","89","339","175","366","196","1703","321",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3101","348","13","22","0","17","74","89","75","54","177","129","244","115","354","137","444","176","236","120","1484","369",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1261","129","0","12","24","36","148","101","79","63","26","26","89","55","139","90","136","75","142","60","478","109",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3269","385","0","17","0","17","207","137","91","63","303","266","155","92","159","100","232","143","348","163","1774","240",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2374","495","0","17","0","17","0","17","20","33","48","43","154","89","174","86","281","177","337","157","1360","494",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2579","237","41","67","0","12","55","50","191","154","276","118","183","110","235","121","107","93","362","152","1129","269",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1701","130","0","12","0","12","40","25","7","11","59","48","228","75","177","82","109","58","265","97","816","154",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1308","158","87","76","110","56","79","40","71","46","22","20","66","47","210","110","89","54","98","88","476","97",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3099","313","0","17","0","17","40","46","140","100","53","44","234","125","367","181","434","172","307","161","1524","302",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1700","205","14","22","0","12","28","34","26","34","143","183","178","82","113","44","233","99","152","81","813","129",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2052","164","0","17","0","17","72","48","94","63","64","43","171","80","188","77","256","109","486","150","721","115",
