"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","283800","126577",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","179200","20113",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","170000","16601",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","221700","29069",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","207700","53136",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","311900","121162",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","237900","22429",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","336700","191952",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","232000","222835",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","233200","44188",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","165300","15645",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","183700","41070",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","369300","23211",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","171700","11418",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","351700","24472",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","292400","19745",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","163700","9042",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","280400","64832",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","381400","53272",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","424400","35298",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","161400","68172",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","356000","47562",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","268800","48097",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","186000","15640",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","108200","17421",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","228300","19058",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","221300","39365",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","141500","7419",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","151700","29321",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","359200","79736",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","342000","91236",
